ledger_id,date_entry,call_writer_oi,call_wri_oi_prev,call_volume,call_ltp,call_iv,expiry_date,strike_price,put_writer_oi,put_wri_oi_prev,put_volume,put_ltp,put_iv,nifty_spot_price,pcr
203054,2025-04-23 23:50:04,71100,96075,34500,1157.10,0.00,2025-04-24,23150,719100,1075350,14051400,4.05,45.29,24328.95,10.11390
203055,2025-04-23 23:50:04,509025,650100,386625,1111.60,43.58,2025-04-24,23200,3837300,3107625,39038775,4.25,43.70,24328.95,7.53850
203056,2025-04-23 23:50:04,97875,111525,41100,1059.90,38.82,2025-04-24,23250,760950,885675,15223800,4.55,42.48,24328.95,7.77470
203057,2025-04-23 23:50:04,1658325,1838775,470325,1012.20,41.02,2025-04-24,23300,4574175,4293600,46698525,4.85,41.38,24328.95,2.75830
203058,2025-04-23 23:50:04,347850,392250,93300,958.10,29.79,2025-04-24,23350,1191900,1155975,17022375,5.25,39.92,24328.95,3.42650
203059,2025-04-23 23:50:04,1844625,2011725,424500,909.50,32.96,2025-04-24,23400,6423600,4685250,40568700,5.60,38.57,24328.95,3.48230
203060,2025-04-23 23:50:04,115125,141750,41100,858.90,30.03,2025-04-24,23450,1422900,1166475,19490925,6.25,37.48,24328.95,12.35960
203061,2025-04-23 23:50:04,3423300,3789150,1151850,813.90,32.47,2025-04-24,23500,10799100,8940225,70374900,6.70,36.13,24328.95,3.15460
203062,2025-04-23 23:50:04,88350,105150,54675,761.00,30.64,2025-04-24,23550,2821650,1308450,28182900,7.10,34.61,24328.95,31.93720
203063,2025-04-23 23:50:04,715950,889200,689175,713.00,26.12,2025-04-24,23600,6767550,3549975,52719000,7.35,32.96,24328.95,9.45250
203064,2025-04-23 23:50:04,236175,253050,64875,658.25,21.97,2025-04-24,23650,2777025,1330725,30806100,7.85,31.49,24328.95,11.75830
203065,2025-04-23 23:50:04,845775,1010625,760725,610.50,24.78,2025-04-24,23700,6164025,5386800,63809625,8.05,29.60,24328.95,7.28800
203066,2025-04-23 23:50:04,180000,242925,298350,561.40,24.05,2025-04-24,23750,1998975,1541175,44901825,8.55,28.14,24328.95,11.10540
203067,2025-04-23 23:50:04,1950900,2429550,2434350,510.25,23.74,2025-04-24,23800,5754075,6923925,103848450,9.00,26.31,24328.95,2.94940
